ds,y
2015-11-01,2014
2018-12-01,1213
2018-12-01,842
2018-12-01,1942
2018-12-01,1072
2018-12-01,1278
2018-12-01,856
2018-12-01,2114
2018-12-01,1583
2018-12-01,1899
2018-12-01,750
2018-12-01,2263
2018-12-01,660
2018-12-01,609
2018-12-01,1469
2018-12-01,1000
2018-12-01,1483
2018-12-01,1436
2018-12-01,822
2018-12-01,1491
2018-12-01,1579
2018-12-01,891
2018-12-01,1212
2018-12-01,767
2018-12-01,1207
2018-12-01,1466
2018-12-01,774
2018-12-01,2344
2016-05-01,1788
2017-03-01,1156
2016-05-01,537
2016-05-01,1951
2016-09-01,1094
2016-09-01,2319
2016-09-01,811
2016-08-01,1087
2016-08-01,1423
2017-10-01,2108
2017-10-01,1463
2017-10-01,734
2017-10-01,2139
2017-10-01,1216
2017-10-01,662
2017-10-01,2223
2017-10-01,732
2017-11-01,671
2017-11-01,1249
2017-11-01,985
2017-11-01,741
2016-06-01,1726
2016-06-01,974
2016-06-01,1272
2016-06-01,1807
2016-06-01,2225
2016-06-01,1909
2016-06-01,1195
2016-05-01,1772
2016-05-01,1404
2016-05-01,676
2016-05-01,1983
2017-12-01,1824
2017-12-01,1389
2017-12-01,819
2018-10-01,1148
2018-10-01,1963
2018-10-01,1668
2018-10-01,1069
2018-10-01,1879
2018-10-01,913
2018-10-01,2207
2018-01-01,2341
2018-01-01,2045
2018-01-01,1512
2018-01-01,2137
2018-01-01,2245
2018-01-01,2193
2018-01-01,2332
2018-01-01,1353
2018-01-01,1370
2018-01-01,1583
2015-04-01,2308
2015-04-01,1073
2015-04-01,2372
2015-04-01,827
2016-03-01,1784
2016-03-01,717
2016-03-01,2421
2016-03-01,2186
2016-03-01,577
2016-03-01,1386
2018-10-01,1080
2018-10-01,2325
2018-10-01,727
2018-10-01,2246
2017-12-01,2194
2017-12-01,1973
2017-12-01,1433
2017-12-01,2390
2017-12-01,1766
2017-12-01,1281
2017-12-01,1547
2017-12-01,567
2017-12-01,1057
2017-12-01,2361
2017-12-01,1502
2017-12-01,2423
2017-12-01,731
2016-09-01,1228
2017-12-01,1377
2017-12-01,2178
2017-12-01,2036
2017-12-01,1485
2017-12-01,809
2017-12-01,2432
2018-12-01,1250
2018-12-01,2106
2018-12-01,1086
2018-12-01,2447
2018-12-01,2073
2018-12-01,1994
2018-12-01,2194
2018-10-01,1231
2017-12-01,880
2015-06-01,1556
2015-06-01,894
2015-06-01,2462
2017-05-01,814
2017-05-01,1020
2017-05-01,743
2016-12-01,893
2016-12-01,1521
2016-12-01,1621
2016-12-01,1512
2016-12-01,1848
2016-12-01,2165
2016-12-01,505
